id,valence,arousal,true_valence,true_arousal
3URtTIdnXIk,7.0,6.5,0.0,0.0
43sSLBwbmWw,3.5,6.5,0.0,0.0
4jrk81foQx8,4.5,5.5,0.0,0.0
7pe0Q8LqiO4,2.5,7.5,0.0,0.0
8Q97Zh1if8o,3.0,2.0,0.0,0.0
9AjIYRoW7W8,7.0,7.5,0.0,0.0
9YaZxm2jxkE,3.0,2.0,0.0,0.0
9o13uFvFPYk,2.5,2.0,0.0,0.0
9oZVMcF55tQ,4.5,4.5,0.0,0.0
9p7A3IK8aM0,2.0,4.5,0.0,0.0
A2o5erysGsM,2.0,3.5,0.0,0.0
AbtQc3NGezU,3.5,5.0,0.0,0.0
ENTeTS2MgsA,2.5,3.0,0.0,0.0
ESJ8aDeMxdg,7.5,6.0,0.0,0.0
EfD9ZRqd-Gg,2.5,3.5,0.0,0.0
FHcNwv-wMcM,1.5,2.5,0.0,0.0
GGCWISVJ57I,2.5,6.0,0.0,0.0
GnFIXbMCfj4,4.0,3.5,0.0,0.0
H8MWwzoIHD4,1.5,3.0,0.0,0.0
IhTldIzTfig,0.5,4.0,0.0,0.0
JTBBkPafLI0,3.5,2.5,0.0,0.0
K0bO2ObAyfI,6.5,4.0,0.0,0.0
KC4lhHd5DFs,3.5,2.5,0.0,0.0
KJJjJiaLcQ8,2.5,2.5,0.0,0.0
LSCQfH5qHTs,3.5,6.0,0.0,0.0
LuQ7ibq8-ss,3.5,6.5,0.0,0.0
NovwJfDRC8o,2.5,2.5,0.0,0.0
OU0ZLYniPuI,2.0,3.5,0.0,0.0
OWJ16tHiApo,3.0,2.0,0.0,0.0
TUoE0voTfmc,1.5,3.5,0.0,0.0
U3Fi83bwMqQ,3.5,7.0,0.0,0.0
UBEIUnVE2FM,6.0,5.5,0.0,0.0
US1abBZMriI,1.5,2.5,0.0,0.0
XWMRkIunb2U,4.0,4.5,0.0,0.0
Y_1OB2-l3ys,2.5,1.5,0.0,0.0
YoNwZowTEnk,1.5,8.0,0.0,0.0
YupzEPqXtIM,4.0,3.0,0.0,0.0
ZciuhjFQPuc,6.0,5.0,0.0,0.0
ZmdKk2Ka5Zg,1.5,4.5,0.0,0.0
_T7oMPRP9cM,2.0,8.0,0.0,0.0
_ot5Tw2HvLI,2.0,7.5,0.0,0.0
b7fNEY_RZxM,2.0,2.5,0.0,0.0
e7VUBJdyw2k,4.0,4.0,0.0,0.0
evmhWYmGJlI,4.5,5.0,0.0,0.0
hhP7aBRQSas,7.0,6.5,0.0,0.0
im_1,4.0,7.0,0.0,0.0
im_10,3.0,6.0,0.0,0.0
im_11,5.0,7.5,0.0,0.0
im_12,3.5,7.5,0.0,0.0
im_13,2.5,6.5,0.0,0.0
im_2,3.5,7.0,0.0,0.0
im_3,3.5,8.0,0.0,0.0
im_4,3.0,7.0,0.0,0.0
im_5,6.0,7.0,0.0,0.0
im_6,2.0,8.0,0.0,0.0
im_7,5.0,5.5,0.0,0.0
im_8,2.5,6.5,0.0,0.0
im_9,2.5,7.5,0.0,0.0
kKzL373JoLY,3.0,3.0,0.0,0.0
kw69Q_w1Rwc,3.5,3.0,0.0,0.0
l9r1U6nRcBs,6.0,7.5,0.0,0.0
lBriXwjWSNo,2.5,6.5,0.0,0.0
mPPJ96QFfX4,4.0,5.5,0.0,0.0
mqQDlH9ztL4,3.5,2.0,0.0,0.0
p-jQ9414z9c,3.0,7.0,0.0,0.0
p839Q_k4azU,1.5,3.5,0.0,0.0
paWE-GvDO1c,7.5,7.0,0.0,0.0
qmWGgMAcB4I,4.0,5.5,0.0,0.0
qqD50l6uMoI,2.5,2.5,0.0,0.0
skh2euA_w4Y,3.0,2.5,0.0,0.0
smgRDDASHRk,2.5,2.0,0.0,0.0
sqXxL_AN3i4,2.0,2.5,0.0,0.0
tmZgyw_hRYw,3.5,6.5,0.0,0.0
uRqzxj-4Ylc,3.0,6.5,0.0,0.0
ufarGYcgwMA,2.5,1.5,0.0,0.0
vIjk5bD7oMQ,3.0,2.0,0.0,0.0
vXEmu533m3o,1.0,3.5,0.0,0.0
vY4nBa_JWrM,3.0,4.0,0.0,0.0
xgS57sLTTp4,1.0,4.0,0.0,0.0
yWpYKJHg22A,4.5,8.0,0.0,0.0
